iter	Passed	Remaining
1149	19191	12733
1150	19208	12716
1151	19225	12699
1152	19241	12682
1153	19261	12668
1154	19278	12651
1155	19293	12634
1156	19311	12618
1157	19328	12601
1158	19344	12584
1159	19359	12567
1160	19377	12551
1161	19393	12533
1162	19410	12517
1163	19425	12499
1164	19441	12482
1165	19457	12465
1166	19473	12448
1167	19490	12431
1168	19506	12414
1169	19523	12398
1170	19537	12379
1171	19556	12364
1172	19574	12348
1173	19590	12331
1174	19608	12315
1175	19624	12298
1176	19640	12281
1177	19655	12263
1178	19671	12246
1179	19687	12229
1180	19704	12213
1181	19720	12196
1182	19737	12179
1183	19754	12162
1184	19776	12149
1185	19791	12131
1186	19806	12114
1187	19822	12097
1188	19839	12080
1189	19856	12063
1190	19872	12046
1191	19887	12029
1192	19901	12010
1193	19915	11992
1194	19931	11975
1195	19947	11958
1196	19964	11941
1197	19979	11924
1198	19994	11906
1199	20009	11888
1200	20026	11872
1201	20041	11855
1202	20058	11838
1203	20073	11820
1204	20089	11803
1205	20104	11785
1206	20117	11767
1207	20132	11749
1208	20147	11732
1209	20163	11714
1210	20193	11706
1211	20208	11687
1212	20224	11671
1213	20240	11654
1214	20261	11639
1215	20281	11625
1216	20297	11608
1217	20315	11592
1218	20334	11576
1219	20354	11561
1220	20370	11544
1221	20385	11527
1222	20403	11511
1223	20419	11494
1224	20435	11477
1225	20452	11460
1226	20468	11443
1227	20485	11427
1228	20500	11409
1229	20515	11391
1230	20532	11375
1231	20547	11357
1232	20563	11340
1233	20580	11324
1234	20596	11307
1235	20614	11291
1236	20631	11274
1237	20650	11259
1238	20666	11242
1239	20680	11224
1240	20705	11212
1241	20721	11194
1242	20739	11179
1243	20755	11161
1244	20774	11146
1245	20792	11130
1246	20809	11113
1247	20826	11097
1248	20844	11081
1249	20858	11063
1250	20876	11047
1251	20905	11037
1252	20920	11019
1253	20937	11002
1254	20952	10985
1255	20968	10968
1256	20984	10951
1257	21002	10935
1258	21017	10917
1259	21032	10900
1260	21049	10883
1261	21065	10866
1262	21079	10848
1263	21094	10830
1264	21110	10814
1265	21126	10797
1266	21144	10780
1267	21157	10762
1268	21174	10745
1269	21192	10729
1270	21207	10712
1271	21222	10694
1272	21238	10677
1273	21257	10661
1274	21276	10646
1275	21294	10630
1276	21311	10613
1277	21330	10598
1278	21349	10582
1279	21367	10566
1280	21384	10550
1281	21409	10537
1282	21424	10520
1283	21441	10503
1284	21456	10485
1285	21472	10469
1286	21487	10451
1287	21503	10434
1288	21520	10417
1289	21536	10401
1290	21553	10384
1291	21569	10367
1292	21585	10350
1293	21601	10333
1294	21618	10316
1295	21634	10299
1296	21652	10283
1297	21671	10268
1298	21689	10251
1299	21706	10235
1300	21722	10218
1301	21737	10201
1302	21753	10184
1303	21771	10167
1304	21787	10150
1305	21803	10133
1306	21819	10116
1307	21837	10100
1308	21853	10083
1309	21868	10066
1310	21883	10048
1311	21899	10031
1312	21914	10014
1313	21932	9997
1314	21947	9980
1315	21962	9963
1316	21979	9946
1317	21996	9930
1318	22013	9913
1319	22029	9896
1320	22044	9879
1321	22060	9862
1322	22077	9845
1323	22093	9828
1324	22109	9811
1325	22126	9795
1326	22142	9778
1327	22157	9760
1328	22172	9743
1329	22188	9726
1330	22204	9709
1331	22221	9692
1332	22237	9675
1333	22253	9658
1334	22272	9643
1335	22288	9626
1336	22304	9609
1337	22325	9594
1338	22341	9577
1339	22358	9560
1340	22377	9545
1341	22393	9527
1342	22408	9510
1343	22424	9493
1344	22442	9477
1345	22456	9459
1346	22475	9443
1347	22490	9426
1348	22506	9409
1349	22522	9392
1350	22537	9375
1351	22552	9358
1352	22569	9341
1353	22586	9324
1354	22605	9309
1355	22623	9293
1356	22641	9276
1357	22655	9259
1358	22671	9241
1359	22688	9225
1360	22705	9208
1361	22724	9193
1362	22741	9176
1363	22759	9160
1364	22774	9143
1365	22788	9125
1366	22804	9108
1367	22822	9092
1368	22838	9075
1369	22855	9058
1370	22869	9041
1371	22884	9023
1372	22899	9006
1373	22916	8989
1374	22931	8972
1375	22947	8955
1376	22964	8938
1377	22979	8921
1378	22995	8904
1379	23012	8888
1380	23028	8871
1381	23044	8854
1382	23061	8837
1383	23076	8820
1384	23091	8803
1385	23107	8786
1386	23122	8768
1387	23138	8751
1388	23155	8735
1389	23171	8718
1390	23186	8701
1391	23202	8684
1392	23219	8667
1393	23233	8650
1394	23250	8633
1395	23271	8618
1396	23286	8601
1397	23305	8585
1398	23322	8568
1399	23338	8552
1400	23355	8535
1401	23372	8518
1402	23388	8501
1403	23404	8484
1404	23421	8468
1405	23437	8451
1406	23453	8434
1407	23469	8417
1408	23484	8400
1409	23500	8383
1410	23516	8366
1411	23533	8350
1412	23549	8333
1413	23565	8316
1414	23582	8299
1415	23599	8283
1416	23614	8265
1417	23630	8249
1418	23647	8232
1419	23665	8216
1420	23681	8199
1421	23698	8182
1422	23713	8165
1423	23728	8148
1424	23745	8131
1425	23764	8115
1426	23779	8098
1427	23794	8081
1428	23811	8064
1429	23827	8047
1430	23843	8031
1431	23859	8014
1432	23874	7997
1433	23889	7979
1434	23906	7963
1435	23921	7946
1436	23936	7928
1437	23950	7911
1438	23966	7894
1439	23983	7878
1440	23998	7860
1441	24014	7843
1442	24031	7827
1443	24047	7810
1444	24062	7793
1445	24076	7775
1446	24091	7758
1447	24105	7741
1448	24121	7724
1449	24136	7707
1450	24153	7690
1451	24168	7673
1452	24184	7656
1453	24202	7640
1454	24217	7623
1455	24234	7606
1456	24253	7590
1457	24269	7573
1458	24286	7557
1459	24304	7540
1460	24321	7524
1461	24340	7508
1462	24359	7492
1463	24374	7475
1464	24390	7458
1465	24408	7442
1466	24424	7425
1467	24440	7408
1468	24457	7392
1469	24472	7375
1470	24488	7358
1471	24506	7341
1472	24524	7325
1473	24539	7308
1474	24555	7291
1475	24571	7275
1476	24586	7257
1477	24603	7241
1478	24618	7224
1479	24632	7206
1480	24647	7189
1481	24663	7172
1482	24678	7155
1483	24694	7138
1484	24712	7122
1485	24726	7105
1486	24741	7087
1487	24757	7071
1488	24774	7054
1489	24791	7038
1490	24808	7021
1491	24825	7005
1492	24843	6988
1493	24859	6972
1494	24876	6955
1495	24893	6938
1496	24910	6922
1497	24925	6905
1498	24942	6888
1499	24959	6872
1500	24974	6854
1501	24990	6838
1502	25006	6821
1503	25024	6805
1504	25038	6787
1505	25054	6771
1506	25070	6754
1507	25087	6737
1508	25104	6721
1509	25121	6704
1510	25136	6687
1511	25152	6670
1512	25168	6653
1513	25185	6637
1514	25202	6620
1515	25217	6603
1516	25235	6587
1517	25257	6572
1518	25275	6556
1519	25291	6539
1520	25307	6522
1521	25327	6506
1522	25342	6489
1523	25357	6472
1524	25373	6455
1525	25391	6439
1526	25408	6422
1527	25425	6406
1528	25442	6389
1529	25459	6373
1530	25474	6356
1531	25492	6339
1532	25509	6323
1533	25525	6306
1534	25541	6289
1535	25556	6272
1536	25575	6256
1537	25597	6241
1538	25615	6224
1539	25633	6208
1540	25653	6192
1541	25671	6176
1542	25702	6163
1543	25721	6147
1544	25737	6130
1545	25752	6113
1546	25768	6096
1547	25786	6080
1548	25802	6063
1549	25820	6046
1550	25835	6029
1551	25852	6013
1552	25872	5997
1553	25891	5981
1554	25908	5964
1555	25926	5948
1556	25941	5931
1557	25957	5914
1558	25973	5897
1559	25989	5881
1560	26005	5864
1561	26021	5847
1562	26037	5830
1563	26054	5813
1564	26070	5797
1565	26090	5781
1566	26107	5764
1567	26123	5747
1568	26138	5730
1569	26155	5714
1570	26172	5697
1571	26189	5681
1572	26205	5664
1573	26220	5647
1574	26240	5631
1575	26258	5615
1576	26276	5598
